"William Clay Ford, Jr. (a)",Executive Chair and Chair of the Board,September 2006,65
"James D. Farley, Jr. (b)",President and Chief Executive Officer,October 2020,60
John Lawler,Chief Financial Officer,October 2020,56
Michael Amend,Chief Enterprise Technology Officer,September 2021,45
Steven P. Croley,Chief Policy Officer and General Counsel,July 2021,57
J. Doug Field,Chief Advanced Product Development and Technology Officer,September 2022,57
Marin Gjaja,"Chief Customer Officer, Ford Model e",March 2022,53
Jennifer Waldo,Chief People and Employee Experience Officer,May 2022,46
Theodore Cannis,"CEO, Ford Pro",May 2022,56
Anning Chen,"President and Chief Executive Officer, Ford of China",December 2018,61
Ashwani (“Kumar”) Galhotra,"President, Ford Blue",March 2022,57
Cathy O’Callaghan,Controller,June 2018,54
